"FileName","SourcePath","Destination","Action"
"fix_all_zwb_exec_restore.py","C:\dev\AspectNova\fix_all_zwb_exec_restore.py","C:\dev\AspectNova\scripts\maintenance\fix_all_zwb_exec_restore.py","MovedToMaintenance"
"fix_all_zwb_extractor.py","C:\dev\AspectNova\fix_all_zwb_extractor.py","C:\dev\AspectNova\scripts\maintenance\fix_all_zwb_extractor.py","MovedToMaintenance"
"fix_bom_extractor.py","C:\dev\AspectNova\fix_bom_extractor.py","C:\dev\AspectNova\scripts\maintenance\fix_bom_extractor.py","MovedToMaintenance"
"fix_future_order_exec_restore.py","C:\dev\AspectNova\fix_future_order_exec_restore.py","C:\dev\AspectNova\scripts\maintenance\fix_future_order_exec_restore.py","MovedToMaintenance"
"fix_future_order_extractor_v2.py","C:\dev\AspectNova\fix_future_order_extractor_v2.py","C:\dev\AspectNova\scripts\maintenance\fix_future_order_extractor_v2.py","MovedToMaintenance"
"refactor_v1_2_step1_create_storage_utils.py","C:\dev\AspectNova\refactor_v1_2_step1_create_storage_utils.py","C:\dev\AspectNova\scripts\maintenance\refactor_v1_2_step1_create_storage_utils.py","MovedToMaintenance"
"refactor_v1_2_step2_fix_future_order_extractor.py","C:\dev\AspectNova\refactor_v1_2_step2_fix_future_order_extractor.py","C:\dev\AspectNova\scripts\maintenance\refactor_v1_2_step2_fix_future_order_extractor.py","MovedToMaintenance"
"refactor_v1_2_step2_fix_import_path.py","C:\dev\AspectNova\refactor_v1_2_step2_fix_import_path.py","C:\dev\AspectNova\scripts\maintenance\refactor_v1_2_step2_fix_import_path.py","MovedToMaintenance"
"refactor_v1_2_step2_tools_use_core_utils.py","C:\dev\AspectNova\refactor_v1_2_step2_tools_use_core_utils.py","C:\dev\AspectNova\scripts\maintenance\refactor_v1_2_step2_tools_use_core_utils.py","MovedToMaintenance"
"refactor_v1_2_step3_paths_patch.py","C:\dev\AspectNova\refactor_v1_2_step3_paths_patch.py","C:\dev\AspectNova\scripts\maintenance\refactor_v1_2_step3_paths_patch.py","MovedToMaintenance"
"tools_repair.ps1","C:\dev\AspectNova\tools_repair.ps1","C:\dev\AspectNova\scripts\maintenance\tools_repair.ps1","MovedToMaintenance"
